EmployeeID,Name,Age,Gender,Department,Salary,Experience,City
101,Ram,25,Male,IT,45000,2,Hyderabad
102,Sita,28,Female,HR,50000,4,Bangalore
103,Ravi,30,Male,Finance,55000,5,Chennai
104,Priya,27,Female,IT,,3,Hyderabad
105,Kiran,,Male,Marketing,42000,2,Vijayawada
106,Anitha,29,Female,HR,51000,4,Bangalore
107,Ram,25,Male,IT,45000,2,Hyderabad
108,Vikram,31,Male,Finance,60000,6,Chennai
109,Divya,26,Female,Marketing,47000,,Vizag
110,Rahul,32,Male,IT,62000,7,Hyderabad
111,Sneha,24,Female,HR,43000,1,Bangalore
112,Ajay,29,Male,Finance,,4,Chennai
113,Meena,27,Female,Marketing,46000,3,Vizag
114,Karthik,30,Male,IT,58000,5,
115,Lakshmi,26,Female,HR,49000,3,Bangalore
